pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
AUD/JPY,V0_b0_c0,1024,119,905,0.1162,-289.00,-2.89,0.78,8.82,1.48,3.74
AUD/JPY,V0_b0_c1,301,85,216,0.2824,-261.96,-2.62,0.74,8.74,4.65,3.39
AUD/JPY,V0_b0_c2,377,93,284,0.2467,-262.64,-2.63,0.75,8.65,3.76,3.38
AUD/JPY,V0_b0_c3,452,104,348,0.2301,-232.86,-2.33,0.80,8.77,3.29,3.15
AUD/JPY,V0_b0_c4,494,111,383,0.2247,-237.92,-2.38,0.80,8.83,3.18,3.29
AUD/JPY,V0_b0_c5,527,113,414,0.2144,-228.62,-2.29,0.81,8.84,2.97,3.15
AUD/JPY,V0_b0.5_c0,1024,119,905,0.1162,-289.00,-2.89,0.78,8.82,1.48,3.74
AUD/JPY,V0_b0.5_c1,301,85,216,0.2824,-261.96,-2.62,0.74,8.74,4.65,3.39
AUD/JPY,V0_b0.5_c2,377,93,284,0.2467,-262.64,-2.63,0.75,8.65,3.76,3.38
AUD/JPY,V0_b0.5_c3,452,104,348,0.2301,-232.86,-2.33,0.80,8.77,3.29,3.15
AUD/JPY,V0_b0.5_c4,494,111,383,0.2247,-237.92,-2.38,0.80,8.83,3.18,3.29
AUD/JPY,V0_b0.5_c5,527,113,414,0.2144,-228.62,-2.29,0.81,8.84,2.97,3.15
AUD/JPY,V0_b1_c0,1024,119,905,0.1162,-289.00,-2.89,0.78,8.82,1.48,3.74
AUD/JPY,V0_b1_c1,301,85,216,0.2824,-261.96,-2.62,0.74,8.74,4.65,3.39
AUD/JPY,V0_b1_c2,377,93,284,0.2467,-262.64,-2.63,0.75,8.65,3.76,3.38
AUD/JPY,V0_b1_c3,452,104,348,0.2301,-232.86,-2.33,0.80,8.77,3.29,3.15
AUD/JPY,V0_b1_c4,494,111,383,0.2247,-237.92,-2.38,0.80,8.83,3.18,3.29
AUD/JPY,V0_b1_c5,527,113,414,0.2144,-228.62,-2.29,0.81,8.84,2.97,3.15
AUD/JPY,V0_b2_c0,1024,119,905,0.1162,-289.00,-2.89,0.78,8.82,1.48,3.74
AUD/JPY,V0_b2_c1,301,85,216,0.2824,-261.96,-2.62,0.74,8.74,4.65,3.39
AUD/JPY,V0_b2_c2,377,93,284,0.2467,-262.64,-2.63,0.75,8.65,3.76,3.38
AUD/JPY,V0_b2_c3,452,104,348,0.2301,-232.86,-2.33,0.80,8.77,3.29,3.15
AUD/JPY,V0_b2_c4,494,111,383,0.2247,-237.92,-2.38,0.80,8.83,3.18,3.29
