pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/GBP,V0,38,20,18,0.5263,-21.27,-0.21,0.88,7.85,9.90,0.42
EUR/GBP,V1,33,17,16,0.5152,-25.42,-0.25,0.83,7.56,9.62,0.58
EUR/GBP,V2,19,12,7,0.6316,45.81,0.46,1.72,9.09,9.04,0.17
USD/JPY,V0,69,24,45,0.3478,-477.54,-4.78,0.37,11.46,16.72,4.98
USD/JPY,V1,56,20,36,0.3571,-338.67,-3.39,0.44,13.10,16.68,3.66
USD/JPY,V2,39,17,22,0.4359,-249.87,-2.50,0.39,9.33,18.57,2.62
EUR/CAD,V0,47,20,27,0.4255,-134.90,-1.35,0.60,10.20,12.56,1.35
EUR/CAD,V1,39,16,23,0.4103,-111.75,-1.12,0.61,10.91,12.45,1.21
EUR/CAD,V2,28,17,11,0.6071,-7.74,-0.08,0.95,8.08,13.19,0.48
EUR/CHF,V0,38,17,21,0.4474,-86.32,-0.86,0.69,11.18,13.16,1.01
EUR/CHF,V1,26,15,11,0.5769,22.92,0.23,1.17,10.64,12.42,0.35
EUR/CHF,V2,24,9,15,0.3750,-88.36,-0.88,0.55,11.77,12.95,1.02
GBP/CHF,V0,45,22,23,0.4889,-88.78,-0.89,0.77,13.78,17.05,1.43
GBP/CHF,V1,32,19,13,0.5938,68.05,0.68,1.32,14.79,16.38,1.11
GBP/CHF,V2,27,14,13,0.5185,-26.86,-0.27,0.88,13.43,16.53,0.66
