pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/GBP,V0_b0_c0,356,30,326,0.0843,-121.54,-1.22,0.53,4.50,0.79,1.46
EUR/GBP,V0_b0_c1,109,23,86,0.2110,-82.35,-0.82,0.55,4.38,2.13,0.98
EUR/GBP,V0_b0_c2,136,24,112,0.1765,-100.10,-1.00,0.53,4.63,1.89,1.16
EUR/GBP,V0_b0_c3,163,28,135,0.1718,-109.66,-1.10,0.53,4.50,1.74,1.29
EUR/GBP,V0_b0_c4,177,28,149,0.1582,-124.13,-1.24,0.50,4.41,1.66,1.43
EUR/GBP,V0_b0_c5,189,29,160,0.1534,-123.79,-1.24,0.51,4.36,1.56,1.43
EUR/GBP,V0_b0.5_c0,356,30,326,0.0843,-121.54,-1.22,0.53,4.50,0.79,1.46
EUR/GBP,V0_b0.5_c1,109,23,86,0.2110,-82.35,-0.82,0.55,4.38,2.13,0.98
EUR/GBP,V0_b0.5_c2,136,24,112,0.1765,-100.10,-1.00,0.53,4.63,1.89,1.16
EUR/GBP,V0_b0.5_c3,163,28,135,0.1718,-109.66,-1.10,0.53,4.50,1.74,1.29
EUR/GBP,V0_b0.5_c4,177,28,149,0.1582,-124.13,-1.24,0.50,4.41,1.66,1.43
EUR/GBP,V0_b0.5_c5,189,29,160,0.1534,-123.79,-1.24,0.51,4.36,1.56,1.43
EUR/GBP,V0_b1_c0,356,30,326,0.0843,-121.54,-1.22,0.53,4.50,0.79,1.46
EUR/GBP,V0_b1_c1,109,23,86,0.2110,-82.35,-0.82,0.55,4.38,2.13,0.98
EUR/GBP,V0_b1_c2,136,24,112,0.1765,-100.10,-1.00,0.53,4.63,1.89,1.16
EUR/GBP,V0_b1_c3,163,28,135,0.1718,-109.66,-1.10,0.53,4.50,1.74,1.29
EUR/GBP,V0_b1_c4,177,28,149,0.1582,-124.13,-1.24,0.50,4.41,1.66,1.43
EUR/GBP,V0_b1_c5,189,29,160,0.1534,-123.79,-1.24,0.51,4.36,1.56,1.43
EUR/GBP,V0_b2_c0,356,30,326,0.0843,-121.54,-1.22,0.53,4.50,0.79,1.46
EUR/GBP,V0_b2_c1,109,23,86,0.2110,-82.35,-0.82,0.55,4.38,2.13,0.98
EUR/GBP,V0_b2_c2,136,24,112,0.1765,-100.10,-1.00,0.53,4.63,1.89,1.16
