pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/CHF,V0_b0_c0,727,78,649,0.1073,-180.80,-1.81,0.68,4.94,0.87,1.97
EUR/CHF,V0_b0_c1,244,56,188,0.2295,-142.22,-1.42,0.66,4.97,2.24,1.67
EUR/CHF,V0_b0_c2,309,60,249,0.1942,-201.88,-2.02,0.59,4.91,1.99,2.21
EUR/CHF,V0_b0_c3,368,71,297,0.1929,-165.21,-1.65,0.68,4.95,1.74,1.90
EUR/CHF,V0_b0_c4,393,75,318,0.1908,-163.63,-1.64,0.69,4.91,1.67,1.88
EUR/CHF,V0_b0_c5,415,77,338,0.1855,-166.42,-1.66,0.69,4.91,1.61,1.91
EUR/CHF,V0_b0.5_c0,727,78,649,0.1073,-180.80,-1.81,0.68,4.94,0.87,1.97
EUR/CHF,V0_b0.5_c1,244,56,188,0.2295,-142.22,-1.42,0.66,4.97,2.24,1.67
EUR/CHF,V0_b0.5_c2,309,60,249,0.1942,-201.88,-2.02,0.59,4.91,1.99,2.21
EUR/CHF,V0_b0.5_c3,368,71,297,0.1929,-165.21,-1.65,0.68,4.95,1.74,1.90
EUR/CHF,V0_b0.5_c4,393,75,318,0.1908,-163.63,-1.64,0.69,4.91,1.67,1.88
EUR/CHF,V0_b0.5_c5,415,77,338,0.1855,-166.42,-1.66,0.69,4.91,1.61,1.91
EUR/CHF,V0_b1_c0,727,78,649,0.1073,-180.80,-1.81,0.68,4.94,0.87,1.97
EUR/CHF,V0_b1_c1,244,56,188,0.2295,-142.22,-1.42,0.66,4.97,2.24,1.67
EUR/CHF,V0_b1_c2,309,60,249,0.1942,-201.88,-2.02,0.59,4.91,1.99,2.21
EUR/CHF,V0_b1_c3,368,71,297,0.1929,-165.21,-1.65,0.68,4.95,1.74,1.90
EUR/CHF,V0_b1_c4,393,75,318,0.1908,-163.63,-1.64,0.69,4.91,1.67,1.88
EUR/CHF,V0_b1_c5,415,77,338,0.1855,-166.42,-1.66,0.69,4.91,1.61,1.91
EUR/CHF,V0_b2_c0,727,78,649,0.1073,-180.80,-1.81,0.68,4.94,0.87,1.97
EUR/CHF,V0_b2_c1,244,56,188,0.2295,-142.22,-1.42,0.66,4.97,2.24,1.67
EUR/CHF,V0_b2_c2,309,60,249,0.1942,-201.88,-2.02,0.59,4.91,1.99,2.21
EUR/CHF,V0_b2_c3,368,71,297,0.1929,-165.21,-1.65,0.68,4.95,1.74,1.90
EUR/CHF,V0_b2_c4,393,75,318,0.1908,-163.63,-1.64,0.69,4.91,1.67,1.88
EUR/CHF,V0_b2_c5,415,77,338,0.1855,-166.42,-1.66,0.69,4.91,1.61,1.91
EUR/CHF,V1_b0_c0,126,46,80,0.3651,-131.33,-1.31,0.63,4.93,4.47,1.47
EUR/CHF,V1_b0_c1,111,38,73,0.3423,-154.41,-1.54,0.54,4.73,4.58,1.59
EUR/CHF,V1_b0_c2,115,40,75,0.3478,-157.30,-1.57,0.55,4.75,4.63,1.69
EUR/CHF,V1_b0_c3,119,42,77,0.3529,-150.51,-1.51,0.57,4.82,4.58,1.62
EUR/CHF,V1_b0_c4,120,43,77,0.3583,-147.23,-1.47,0.58,4.78,4.58,1.59
EUR/CHF,V1_b0_c5,122,45,77,0.3689,-134.37,-1.34,0.62,4.86,4.59,1.46
EUR/CHF,V1_b0.5_c0,120,43,77,0.3583,-134.02,-1.34,0.62,5.01,4.54,1.49
EUR/CHF,V1_b0.5_c1,108,37,71,0.3426,-154.28,-1.54,0.53,4.71,4.63,1.59
EUR/CHF,V1_b0.5_c2,112,39,73,0.3482,-157.18,-1.57,0.54,4.73,4.68,1.69
EUR/CHF,V1_b0.5_c3,114,40,74,0.3509,-150.17,-1.50,0.56,4.85,4.65,1.62
EUR/CHF,V1_b0.5_c4,115,41,74,0.3565,-146.90,-1.47,0.57,4.81,4.65,1.59
EUR/CHF,V1_b0.5_c5,116,42,74,0.3621,-137.06,-1.37,0.60,4.94,4.65,1.49
EUR/CHF,V1_b1_c0,112,43,69,0.3839,-104.61,-1.05,0.67,4.98,4.62,1.23
EUR/CHF,V1_b1_c1,100,36,64,0.3600,-128.12,-1.28,0.57,4.78,4.69,1.37
EUR/CHF,V1_b1_c2,104,38,66,0.3654,-131.02,-1.31,0.58,4.80,4.75,1.46
EUR/CHF,V1_b1_c3,105,39,66,0.3714,-121.55,-1.22,0.61,4.93,4.75,1.37
EUR/CHF,V1_b1_c4,107,41,66,0.3832,-117.52,-1.18,0.63,4.79,4.75,1.33
EUR/CHF,V1_b1_c5,108,42,66,0.3889,-107.66,-1.08,0.66,4.91,4.76,1.23
EUR/CHF,V1_b2_c0,97,37,60,0.3814,-86.15,-0.86,0.68,4.85,4.43,0.90
EUR/CHF,V1_b2_c1,89,33,56,0.3708,-94.38,-0.94,0.62,4.72,4.47,1.03
EUR/CHF,V1_b2_c2,90,33,57,0.3667,-104.86,-1.05,0.60,4.72,4.57,1.13
EUR/CHF,V1_b2_c3,91,34,57,0.3736,-95.37,-0.95,0.63,4.87,4.58,1.04
EUR/CHF,V1_b2_c4,93,36,57,0.3871,-91.32,-0.91,0.65,4.71,4.58,1.00
EUR/CHF,V1_b2_c5,94,37,57,0.3936,-81.43,-0.81,0.69,4.85,4.58,0.90
EUR/CHF,V2_b0_c0,48,19,29,0.3958,-72.45,-0.72,0.56,4.89,5.70,0.75
EUR/CHF,V2_b0_c1,21,8,13,0.3810,-31.07,-0.31,0.58,5.38,5.70,0.45
EUR/CHF,V2_b0_c2,31,11,20,0.3548,-60.93,-0.61,0.48,5.06,5.83,0.61
EUR/CHF,V2_b0_c3,34,12,22,0.3529,-61.08,-0.61,0.51,5.30,5.67,0.67
EUR/CHF,V2_b0_c4,38,14,24,0.3684,-61.19,-0.61,0.54,5.10,5.53,0.67
EUR/CHF,V2_b0_c5,43,17,26,0.3953,-58.30,-0.58,0.60,5.16,5.62,0.64
EUR/CHF,V2_b0.5_c0,31,10,21,0.3226,-61.58,-0.62,0.51,6.37,5.96,0.64
EUR/CHF,V2_b0.5_c1,13,4,9,0.3077,-29.79,-0.30,0.50,7.55,6.67,0.41
EUR/CHF,V2_b0.5_c2,19,4,15,0.2105,-62.04,-0.62,0.33,7.54,6.15,0.62
EUR/CHF,V2_b0.5_c3,23,6,17,0.2609,-57.69,-0.58,0.43,7.11,5.90,0.63
EUR/CHF,V2_b0.5_c4,23,6,17,0.2609,-57.69,-0.58,0.43,7.11,5.90,0.63
EUR/CHF,V2_b0.5_c5,27,8,19,0.2963,-62.91,-0.63,0.44,6.30,5.96,0.69
EUR/CHF,V2_b1_c0,17,4,13,0.2353,-46.40,-0.46,0.41,8.13,6.07,0.48
EUR/CHF,V2_b1_c1,10,3,7,0.3000,-18.39,-0.18,0.58,8.49,6.26,0.29
EUR/CHF,V2_b1_c2,13,3,10,0.2308,-38.76,-0.39,0.40,8.48,6.42,0.46
EUR/CHF,V2_b1_c3,13,3,10,0.2308,-38.76,-0.39,0.40,8.48,6.42,0.46
EUR/CHF,V2_b1_c4,13,3,10,0.2308,-38.76,-0.39,0.40,8.48,6.42,0.46
EUR/CHF,V2_b1_c5,15,4,11,0.2667,-39.74,-0.40,0.45,8.14,6.57,0.47
EUR/CHF,V2_b2_c0,11,3,8,0.2727,-6.10,-0.06,0.81,8.48,3.94,0.19
EUR/CHF,V2_b2_c1,7,3,4,0.4286,7.77,0.08,1.44,8.49,4.42,0.11
EUR/CHF,V2_b2_c2,9,3,6,0.3333,0.59,0.01,1.02,8.49,4.14,0.14
EUR/CHF,V2_b2_c3,9,3,6,0.3333,0.59,0.01,1.02,8.49,4.14,0.14
EUR/CHF,V2_b2_c4,9,3,6,0.3333,0.59,0.01,1.02,8.49,4.14,0.14
EUR/CHF,V2_b2_c5,9,3,6,0.3333,0.59,0.01,1.02,8.49,4.14,0.14
