pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/GBP,V2_b0.5_c0,16,11,5,0.6875,71.52,0.72,3.09,9.62,6.86,0.17
EUR/GBP,V2_b0.5_c1,19,13,6,0.6842,77.85,0.78,2.80,9.32,7.22,0.26
EUR/GBP,V2_b0.5_c2,18,13,5,0.7222,86.93,0.87,3.53,9.33,6.86,0.17
EUR/GBP,V2_b0.5_c3,18,13,5,0.7222,76.87,0.77,2.74,9.32,8.86,0.27
EUR/GBP,V2_b0.5_c4,19,13,6,0.6842,67.79,0.68,2.27,9.31,8.88,0.36
EUR/GBP,V1_b0.5_c0,33,16,17,0.4848,-47.24,-0.47,0.72,7.63,9.96,0.62
EUR/GBP,V1_b0.5_c1,33,16,17,0.4848,-47.24,-0.47,0.72,7.63,9.96,0.62
EUR/GBP,V1_b0.5_c2,33,16,17,0.4848,-47.24,-0.47,0.72,7.63,9.96,0.62
EUR/GBP,V1_b0.5_c3,33,16,17,0.4848,-47.24,-0.47,0.72,7.63,9.96,0.62
EUR/GBP,V1_b0.5_c4,33,16,17,0.4848,-47.24,-0.47,0.72,7.63,9.96,0.62
GBP/CHF,V2_b0.5_c0,27,14,13,0.5185,-26.26,-0.26,0.88,13.47,16.53,0.66
GBP/CHF,V2_b0.5_c1,30,16,14,0.5333,-10.13,-0.10,0.95,12.86,15.42,0.66
GBP/CHF,V2_b0.5_c2,30,16,14,0.5333,-6.68,-0.07,0.97,13.07,15.41,0.66
GBP/CHF,V2_b0.5_c3,30,16,14,0.5333,-7.73,-0.08,0.96,13.01,15.42,0.58
GBP/CHF,V2_b0.5_c4,31,17,14,0.5484,6.52,0.07,1.03,13.10,15.44,0.58
GBP/CHF,V1_b0.5_c0,32,20,12,0.6250,93.77,0.94,1.49,14.24,15.92,1.11
GBP/CHF,V1_b0.5_c1,32,20,12,0.6250,93.77,0.94,1.49,14.24,15.92,1.11
GBP/CHF,V1_b0.5_c2,32,20,12,0.6250,93.77,0.94,1.49,14.24,15.92,1.11
GBP/CHF,V1_b0.5_c3,32,20,12,0.6250,93.77,0.94,1.49,14.24,15.92,1.11
GBP/CHF,V1_b0.5_c4,32,20,12,0.6250,93.77,0.94,1.49,14.24,15.92,1.11
