pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
GBP/CAD,V0_b0,48,25,23,0.5208,-19.68,-0.20,0.93,10.87,12.68,1.10
GBP/CAD,V1_b0,40,20,20,0.5000,-42.22,-0.42,0.83,10.41,12.52,1.06
GBP/CAD,V2_b0,22,9,13,0.4091,-63.13,-0.63,0.62,11.47,12.80,0.72
AUD/NZD,V0_b0,44,26,18,0.5909,-1.06,-0.01,1.00,8.45,12.26,0.66
AUD/NZD,V1_b0,34,18,16,0.5294,-13.76,-0.14,0.92,9.20,11.21,0.67
AUD/NZD,V2_b0,22,12,10,0.5455,-10.57,-0.11,0.90,8.28,11.00,0.59
USD/CHF,V0_b0,67,28,39,0.4179,-322.63,-3.23,0.55,13.84,18.21,4.28
USD/CHF,V1_b0,54,23,31,0.4259,-245.14,-2.45,0.56,13.61,18.01,3.44
USD/CHF,V2_b0,36,15,21,0.4167,-108.86,-1.09,0.69,16.33,16.85,2.18
AUD/CAD,V0_b0,40,23,17,0.5750,38.28,0.38,1.09,20.90,26.03,1.31
AUD/CAD,V1_b0,33,21,12,0.6364,139.03,1.39,1.43,21.88,26.70,0.67
AUD/CAD,V2_b0,26,12,14,0.4615,-26.45,-0.26,0.91,21.92,20.68,1.78
