pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/GBP,V0_b0_c0,404,25,379,0.0619,-113.98,-1.14,0.50,4.51,0.60,1.31
EUR/GBP,V0_b0_c1,99,19,80,0.1919,-84.39,-0.84,0.50,4.43,2.11,0.92
EUR/GBP,V0_b0_c2,123,20,103,0.1626,-99.04,-0.99,0.49,4.73,1.88,1.07
EUR/GBP,V0_b0_c3,146,23,123,0.1575,-107.09,-1.07,0.50,4.63,1.74,1.18
EUR/GBP,V0_b0_c4,159,23,136,0.1447,-119.87,-1.20,0.46,4.53,1.65,1.31
EUR/GBP,V0_b0_c5,170,24,146,0.1412,-116.81,-1.17,0.48,4.47,1.53,1.28
EUR/GBP,V0_b0.5_c0,404,25,379,0.0619,-113.98,-1.14,0.50,4.51,0.60,1.31
EUR/GBP,V0_b0.5_c1,99,19,80,0.1919,-84.39,-0.84,0.50,4.43,2.11,0.92
EUR/GBP,V0_b0.5_c2,123,20,103,0.1626,-99.04,-0.99,0.49,4.73,1.88,1.07
EUR/GBP,V0_b0.5_c3,146,23,123,0.1575,-107.09,-1.07,0.50,4.63,1.74,1.18
EUR/GBP,V0_b0.5_c4,159,23,136,0.1447,-119.87,-1.20,0.46,4.53,1.65,1.31
EUR/GBP,V0_b0.5_c5,170,24,146,0.1412,-116.81,-1.17,0.48,4.47,1.53,1.28
EUR/GBP,V0_b1_c0,404,25,379,0.0619,-113.98,-1.14,0.50,4.51,0.60,1.31
EUR/GBP,V0_b1_c1,99,19,80,0.1919,-84.39,-0.84,0.50,4.43,2.11,0.92
EUR/GBP,V0_b1_c2,123,20,103,0.1626,-99.04,-0.99,0.49,4.73,1.88,1.07
EUR/GBP,V0_b1_c3,146,23,123,0.1575,-107.09,-1.07,0.50,4.63,1.74,1.18
EUR/GBP,V0_b1_c4,159,23,136,0.1447,-119.87,-1.20,0.46,4.53,1.65,1.31
EUR/GBP,V0_b1_c5,170,24,146,0.1412,-116.81,-1.17,0.48,4.47,1.53,1.28
EUR/GBP,V0_b2_c0,404,25,379,0.0619,-113.98,-1.14,0.50,4.51,0.60,1.31
EUR/GBP,V0_b2_c1,99,19,80,0.1919,-84.39,-0.84,0.50,4.43,2.11,0.92
EUR/GBP,V0_b2_c2,123,20,103,0.1626,-99.04,-0.99,0.49,4.73,1.88,1.07
EUR/GBP,V0_b2_c3,146,23,123,0.1575,-107.09,-1.07,0.50,4.63,1.74,1.18
EUR/GBP,V0_b2_c4,159,23,136,0.1447,-119.87,-1.20,0.46,4.53,1.65,1.31
EUR/GBP,V0_b2_c5,170,24,146,0.1412,-116.81,-1.17,0.48,4.47,1.53,1.28
