pair,mode,buffer_pips,confirm_bars,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct,sharpe
EUR/GBP,V5,0.0,3,30,13,17,0.4333,-45.17,-0.45,0.72,8.77,9.36,0.69,-0.43
EUR/GBP,V5,1.0,0,18,4,14,0.2222,-104.37,-1.04,0.24,8.31,9.83,1.04,-1.09
EUR/GBP,V5,1.0,1,22,7,15,0.3182,-81.32,-0.81,0.43,8.77,9.51,0.94,-1.20
EUR/GBP,V5,1.0,2,27,11,16,0.4074,-57.09,-0.57,0.63,8.74,9.58,0.74,-0.34
EUR/GBP,V5,1.0,3,27,11,16,0.4074,-57.09,-0.57,0.63,8.74,9.58,0.74,-0.34
EUR/GBP,V5,2.0,0,17,5,12,0.2941,-76.86,-0.77,0.34,8.05,9.76,0.79,-0.78
EUR/GBP,V5,2.0,1,21,8,13,0.3810,-59.52,-0.60,0.53,8.55,9.84,0.89,-0.67
EUR/GBP,V5,2.0,2,25,11,14,0.4400,-41.69,-0.42,0.70,8.79,9.89,0.76,-0.59
EUR/GBP,V5,2.0,3,25,11,14,0.4400,-41.69,-0.42,0.70,8.79,9.89,0.76,-0.59
EUR/GBP,V5,3.0,0,14,5,9,0.3571,-45.79,-0.46,0.47,8.07,9.57,0.60,-1.41
EUR/GBP,V5,3.0,1,18,8,10,0.4444,-28.39,-0.28,0.71,8.57,9.70,0.70,-0.23
EUR/GBP,V5,3.0,2,21,10,11,0.4762,-23.10,-0.23,0.79,8.76,10.06,0.75,-0.39
EUR/GBP,V5,3.0,3,21,10,11,0.4762,-23.10,-0.23,0.79,8.76,10.06,0.75,-0.39
EUR/GBP,V5,5.0,0,10,3,7,0.3000,-49.56,-0.50,0.34,8.48,10.72,0.54,-4.09
EUR/GBP,V5,5.0,1,13,5,8,0.3846,-36.77,-0.37,0.57,9.82,10.73,0.65,-0.59
EUR/GBP,V5,5.0,2,15,7,8,0.4667,-17.69,-0.18,0.79,9.74,10.74,0.56,-0.43
EUR/GBP,V5,5.0,3,15,7,8,0.4667,-17.69,-0.18,0.79,9.74,10.74,0.56,-0.43
GBP/CHF,V0,0.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V0,1.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V0,2.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V0,3.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V0,5.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V1,0.0,0,33,22,11,0.6667,88.99,0.89,1.40,14.19,20.29,1.17,0.22
GBP/CHF,V1,1.0,0,30,20,10,0.6667,93.41,0.93,1.52,13.72,18.11,1.14,0.22
GBP/CHF,V1,2.0,0,29,19,10,0.6552,80.13,0.80,1.44,13.74,18.10,1.14,0.21
GBP/CHF,V1,3.0,0,26,16,10,0.6154,24.06,0.24,1.13,12.99,18.38,1.35,-0.03
GBP/CHF,V1,5.0,0,17,10,7,0.5882,11.49,0.11,1.08,14.96,19.73,0.97,-0.03
GBP/CHF,V2,0.0,0,27,14,13,0.5185,-47.44,-0.47,0.80,13.16,17.82,0.71,-0.09
GBP/CHF,V2,1.0,0,25,14,11,0.5600,-44.73,-0.45,0.79,11.79,19.07,0.70,-0.24
GBP/CHF,V2,2.0,0,19,8,11,0.4211,-109.69,-1.10,0.45,11.22,18.13,1.27,-1.19
GBP/CHF,V2,3.0,0,18,8,10,0.4444,-76.32,-0.76,0.57,12.58,17.70,0.97,-0.74
GBP/CHF,V2,5.0,0,7,2,5,0.2857,-74.94,-0.75,0.18,8.34,18.32,0.92,0.00
GBP/CHF,V3,0.0,0,41,22,19,0.5366,-67.34,-0.67,0.82,13.55,19.23,1.58,-0.11
GBP/CHF,V3,1.0,0,41,23,18,0.5610,-30.30,-0.30,0.91,13.67,19.15,1.58,-0.11
GBP/CHF,V3,2.0,0,39,21,18,0.5385,-55.32,-0.55,0.83,13.31,18.60,1.58,-0.23
GBP/CHF,V3,3.0,0,39,21,18,0.5385,-40.00,-0.40,0.88,13.82,18.34,1.58,-0.17
GBP/CHF,V3,5.0,0,36,24,12,0.6667,117.11,1.17,1.56,13.54,17.33,1.11,0.34
GBP/CHF,V4,0.0,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GBP/CHF,V4,1.0,0,8,4,4,0.5000,-25.33,-0.25,0.73,16.70,23.03,0.59,-0.23
GBP/CHF,V4,2.0,0,10,6,4,0.6000,4.80,0.05,1.05,16.16,23.03,0.51,-0.29
GBP/CHF,V4,3.0,0,12,8,4,0.6667,41.31,0.41,1.47,16.05,21.76,0.46,0.24
GBP/CHF,V4,5.0,0,21,13,8,0.6190,15.30,0.15,1.09,14.42,21.53,1.07,-0.00
GBP/CHF,V5,0.0,0,18,11,7,0.6111,8.75,0.09,1.07,12.82,18.90,0.89,-0.18
GBP/CHF,V5,0.0,1,24,15,9,0.6250,24.09,0.24,1.13,13.57,19.94,1.36,0.08
GBP/CHF,V5,0.0,2,29,18,11,0.6207,10.10,0.10,1.04,13.07,20.48,1.57,-0.02
GBP/CHF,V5,0.0,3,31,20,11,0.6452,46.66,0.47,1.21,13.60,20.49,1.38,-0.02
GBP/CHF,V5,1.0,0,15,10,5,0.6667,33.36,0.33,1.37,12.29,17.91,0.68,0.16
GBP/CHF,V5,1.0,1,22,14,8,0.6364,50.37,0.50,1.37,13.25,16.90,1.11,0.06
GBP/CHF,V5,1.0,2,27,17,10,0.6296,34.37,0.34,1.19,12.79,18.31,1.35,-0.06
GBP/CHF,V5,1.0,3,28,18,10,0.6429,51.35,0.51,1.28,13.02,18.31,1.35,0.15
GBP/CHF,V5,2.0,0,14,9,5,0.6429,17.82,0.18,1.20,11.93,17.91,0.68,0.16
GBP/CHF,V5,2.0,1,21,13,8,0.6190,36.23,0.36,1.27,13.18,16.89,1.11,0.07
GBP/CHF,V5,2.0,2,25,15,10,0.6000,4.32,0.04,1.02,12.49,18.30,1.35,-0.05
GBP/CHF,V5,2.0,3,27,17,10,0.6296,38.13,0.38,1.21,13.01,18.30,1.35,-0.05
GBP/CHF,V5,3.0,0,14,9,5,0.6429,17.82,0.18,1.20,11.93,17.91,0.68,0.16
GBP/CHF,V5,3.0,1,19,12,7,0.6316,42.48,0.42,1.37,13.04,16.29,0.90,0.14
GBP/CHF,V5,3.0,2,24,15,9,0.6250,25.42,0.25,1.16,12.49,18.00,1.14,0.11
GBP/CHF,V5,3.0,3,25,15,10,0.6000,3.33,0.03,1.02,12.47,18.37,1.35,-0.06
GBP/CHF,V5,5.0,0,8,5,3,0.6250,11.93,0.12,1.22,13.11,17.88,0.54,0.09
GBP/CHF,V5,5.0,1,13,8,5,0.6154,20.70,0.21,1.22,14.32,18.77,0.94,0.01
GBP/CHF,V5,5.0,2,14,8,6,0.5714,-1.65,-0.02,0.99,14.31,19.35,0.94,-0.33
GBP/CHF,V5,5.0,3,15,8,7,0.5333,-23.68,-0.24,0.83,14.28,19.70,1.16,-0.52
EUR/CHF,V0,0.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V0,1.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V0,2.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V0,3.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V0,5.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V1,0.0,0,27,14,13,0.5185,29.72,0.30,1.17,14.39,13.21,0.43,0.50
EUR/CHF,V1,1.0,0,24,13,11,0.5417,13.49,0.13,1.08,13.49,14.72,0.60,0.21
EUR/CHF,V1,2.0,0,20,10,10,0.5000,-2.60,-0.03,0.98,14.02,14.28,0.60,-0.02
EUR/CHF,V1,3.0,0,17,7,10,0.4118,-49.55,-0.50,0.65,13.29,14.26,0.82,-1.57
EUR/CHF,V1,5.0,0,9,3,6,0.3333,-36.28,-0.36,0.56,15.20,13.65,0.69,-2.73
EUR/CHF,V2,0.0,0,25,12,13,0.4800,-79.84,-0.80,0.61,10.59,15.92,0.89,-0.41
EUR/CHF,V2,1.0,0,18,5,13,0.2778,-152.25,-1.52,0.26,10.80,15.87,1.56,-2.16
EUR/CHF,V2,2.0,0,16,3,13,0.1875,-139.00,-1.39,0.24,15.00,14.15,1.39,-1.47
EUR/CHF,V2,3.0,0,14,3,11,0.2143,-102.58,-1.03,0.30,15.00,13.42,1.03,-1.20
EUR/CHF,V2,5.0,0,5,1,4,0.2000,-28.38,-0.28,0.32,13.49,10.47,0.39,0.00
EUR/CHF,V3,0.0,0,36,17,19,0.4722,-56.93,-0.57,0.80,13.28,14.88,1.14,-0.26
EUR/CHF,V3,1.0,0,35,16,19,0.4571,-59.29,-0.59,0.79,13.96,14.88,1.17,-0.15
EUR/CHF,V3,2.0,0,34,15,19,0.4412,-74.68,-0.75,0.74,13.85,14.86,1.32,-0.48
EUR/CHF,V3,3.0,0,32,14,18,0.4375,-72.94,-0.73,0.72,13.74,14.74,1.31,-0.39
EUR/CHF,V3,5.0,0,25,10,15,0.4000,-55.57,-0.56,0.71,13.45,12.67,1.03,-0.96
EUR/CHF,V4,0.0,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EUR/CHF,V4,1.0,0,7,4,3,0.5714,32.24,0.32,2.11,15.31,9.66,0.27,0.00
EUR/CHF,V4,2.0,0,12,7,5,0.5833,25.41,0.25,1.36,13.59,13.95,0.27,0.54
EUR/CHF,V4,3.0,0,16,11,5,0.6875,94.50,0.94,2.35,14.95,14.00,0.27,1.65
EUR/CHF,V4,5.0,0,21,13,8,0.6190,79.88,0.80,1.71,14.75,13.99,0.39,0.71
EUR/CHF,V5,0.0,0,15,9,6,0.6000,39.49,0.39,1.50,13.23,13.27,0.36,0.28
EUR/CHF,V5,0.0,1,19,10,9,0.5263,-6.26,-0.06,0.96,13.40,15.58,0.54,-0.08
EUR/CHF,V5,0.0,2,21,11,10,0.5238,-3.41,-0.03,0.98,13.27,14.94,0.42,0.53
EUR/CHF,V5,0.0,3,23,12,11,0.5217,11.90,0.12,1.08,13.55,13.70,0.42,0.06
EUR/CHF,V5,1.0,0,12,7,5,0.5833,8.54,0.09,1.12,11.39,14.24,0.32,0.25
EUR/CHF,V5,1.0,1,17,9,8,0.5294,-23.74,-0.24,0.82,12.00,16.47,0.64,-0.07
EUR/CHF,V5,1.0,2,19,10,9,0.5263,-20.89,-0.21,0.85,12.00,15.66,0.61,-0.33
EUR/CHF,V5,1.0,3,20,11,9,0.5500,-4.30,-0.04,0.97,12.42,15.66,0.61,-0.04
EUR/CHF,V5,2.0,0,8,4,4,0.5000,-4.69,-0.05,0.91,11.88,13.05,0.24,-0.27
EUR/CHF,V5,2.0,1,14,7,7,0.5000,-23.21,-0.23,0.79,12.80,16.11,0.51,-0.21
EUR/CHF,V5,2.0,2,16,8,8,0.5000,-20.35,-0.20,0.83,12.70,15.24,0.60,-0.33
EUR/CHF,V5,2.0,3,16,8,8,0.5000,-20.35,-0.20,0.83,12.70,15.24,0.60,-0.33
EUR/CHF,V5,3.0,0,7,3,4,0.4286,-20.55,-0.21,0.61,10.54,13.04,0.33,0.00
EUR/CHF,V5,3.0,1,12,5,7,0.4167,-52.75,-0.53,0.53,11.98,16.09,0.66,-1.28
EUR/CHF,V5,3.0,2,14,6,8,0.4286,-49.90,-0.50,0.59,11.98,15.23,0.75,-2.19
EUR/CHF,V5,3.0,3,14,6,8,0.4286,-49.90,-0.50,0.59,11.98,15.23,0.75,-2.19
EUR/CHF,V5,5.0,0,5,2,3,0.4000,-8.48,-0.08,0.74,12.25,11.00,0.33,0.00
EUR/CHF,V5,5.0,1,6,2,4,0.3333,-26.51,-0.27,0.48,12.24,12.75,0.51,0.00
EUR/CHF,V5,5.0,2,7,2,5,0.2857,-35.70,-0.36,0.41,12.23,12.03,0.60,0.00
EUR/CHF,V5,5.0,3,7,2,5,0.2857,-35.70,-0.36,0.41,12.23,12.03,0.60,0.00
USD/JPY,V0,0.0,0,66,27,39,0.4091,-407.61,-4.08,0.44,12.00,18.76,4.28,-0.58
USD/JPY,V0,1.0,0,66,27,39,0.4091,-407.61,-4.08,0.44,12.00,18.76,4.28,-0.58
USD/JPY,V0,2.0,0,66,27,39,0.4091,-407.61,-4.08,0.44,12.00,18.76,4.28,-0.58
USD/JPY,V0,3.0,0,66,27,39,0.4091,-407.61,-4.08,0.44,12.00,18.76,4.28,-0.58
USD/JPY,V0,5.0,0,66,27,39,0.4091,-407.61,-4.08,0.44,12.00,18.76,4.28,-0.58
USD/JPY,V1,0.0,0,54,23,31,0.4259,-287.74,-2.88,0.51,12.87,18.83,2.99,-0.52
USD/JPY,V1,1.0,0,54,23,31,0.4259,-286.55,-2.87,0.51,12.87,18.79,2.99,-0.52
USD/JPY,V1,2.0,0,51,21,30,0.4118,-310.11,-3.10,0.46,12.58,19.14,3.19,-0.61
USD/JPY,V1,3.0,0,48,19,29,0.3958,-310.32,-3.10,0.45,13.28,19.40,3.19,-0.78
USD/JPY,V1,5.0,0,38,15,23,0.3947,-253.53,-2.54,0.45,13.59,19.89,2.63,-0.51
USD/JPY,V2,0.0,0,38,16,22,0.4211,-223.65,-2.24,0.46,11.93,18.84,2.61,-0.55
USD/JPY,V2,1.0,0,33,16,17,0.4848,-149.39,-1.49,0.55,11.49,19.61,2.25,-0.39
USD/JPY,V2,2.0,0,30,15,15,0.5000,-141.58,-1.42,0.56,11.93,21.37,2.16,-0.50
USD/JPY,V2,3.0,0,22,10,12,0.4545,-159.76,-1.60,0.42,11.72,23.08,2.22,-0.71
USD/JPY,V2,5.0,0,17,7,10,0.4118,-164.16,-1.64,0.33,11.43,24.42,2.00,-0.79
USD/JPY,V3,0.0,0,65,28,37,0.4308,-378.43,-3.78,0.47,12.18,19.45,4.06,-0.56
USD/JPY,V3,1.0,0,65,28,37,0.4308,-377.23,-3.77,0.47,12.18,19.42,4.05,-0.56
USD/JPY,V3,2.0,0,65,28,37,0.4308,-376.91,-3.77,0.47,12.16,19.39,4.04,-0.56
USD/JPY,V3,3.0,0,62,27,35,0.4355,-361.27,-3.61,0.48,12.33,19.83,3.92,-0.51
USD/JPY,V3,5.0,0,55,21,34,0.3818,-415.51,-4.16,0.39,12.66,20.04,4.24,-0.80
USD/JPY,V4,0.0,0,2,2,0,1.0000,26.62,0.27,999.00,13.31,0.00,0.00,0.00
USD/JPY,V4,1.0,0,12,5,7,0.4167,-76.25,-0.76,0.49,14.83,21.49,1.03,-0.47
USD/JPY,V4,2.0,0,20,8,12,0.4000,-107.82,-1.08,0.51,14.10,18.39,1.38,-0.44
USD/JPY,V4,3.0,0,24,10,14,0.4167,-127.10,-1.27,0.50,12.86,18.27,1.45,-0.78
USD/JPY,V4,5.0,0,31,16,15,0.5161,-79.29,-0.79,0.72,12.44,18.55,1.22,-0.21
USD/JPY,V5,0.0,0,30,10,20,0.3333,-206.24,-2.06,0.36,11.77,16.20,2.14,-1.14
USD/JPY,V5,0.0,1,34,12,22,0.3529,-221.89,-2.22,0.39,11.85,16.55,2.30,-0.98
USD/JPY,V5,0.0,2,40,16,24,0.4000,-197.18,-1.97,0.51,13.07,16.93,2.06,-0.96
USD/JPY,V5,0.0,3,44,19,25,0.4318,-174.68,-1.75,0.59,13.29,17.09,1.83,-0.77
USD/JPY,V5,1.0,0,29,10,19,0.3448,-196.28,-1.96,0.38,11.78,16.53,2.04,-1.00
USD/JPY,V5,1.0,1,33,12,21,0.3636,-211.95,-2.12,0.40,11.86,16.87,2.21,-0.59
USD/JPY,V5,1.0,2,38,15,23,0.3947,-186.29,-1.86,0.51,12.85,16.48,2.11,-0.86
USD/JPY,V5,1.0,3,44,19,25,0.4318,-173.79,-1.74,0.59,13.28,17.04,1.82,-0.77
USD/JPY,V5,2.0,0,25,8,17,0.3200,-197.83,-1.98,0.31,11.21,16.91,2.10,-0.68
USD/JPY,V5,2.0,1,29,10,19,0.3448,-222.22,-2.22,0.34,11.42,17.71,2.30,-1.14
USD/JPY,V5,2.0,2,34,13,21,0.3824,-195.46,-1.95,0.46,12.67,17.15,2.21,-0.99
USD/JPY,V5,2.0,3,41,18,23,0.4390,-175.12,-1.75,0.57,12.90,17.71,1.84,-0.50
USD/JPY,V5,3.0,0,23,7,16,0.3043,-190.60,-1.91,0.31,12.22,17.26,1.98,-0.96
USD/JPY,V5,3.0,1,27,9,18,0.3333,-215.01,-2.15,0.34,12.24,18.06,2.23,-1.78
USD/JPY,V5,3.0,2,32,12,20,0.3750,-188.23,-1.88,0.46,13.38,17.44,2.13,-0.78
USD/JPY,V5,3.0,3,38,17,21,0.4474,-142.38,-1.42,0.62,13.39,17.62,1.68,-0.45
USD/JPY,V5,5.0,0,19,5,14,0.2632,-173.09,-1.73,0.27,13.01,17.01,1.73,-0.81
USD/JPY,V5,5.0,1,22,7,15,0.3182,-172.95,-1.73,0.35,13.56,17.86,1.73,-1.00
USD/JPY,V5,5.0,2,25,9,16,0.3600,-154.23,-1.54,0.45,14.25,17.66,1.70,-0.66
USD/JPY,V5,5.0,3,29,12,17,0.4138,-135.67,-1.36,0.55,13.95,17.82,1.56,-0.41
