pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
NZD/USD,V2_b0_c2,42,16,26,0.3810,-88.97,-0.89,0.67,11.22,10.33,1.09
NZD/USD,V2_b0_c3,47,18,29,0.3830,-101.28,-1.01,0.65,10.48,10.00,1.27
NZD/USD,V2_b0_c4,49,18,31,0.3673,-117.08,-1.17,0.62,10.46,9.85,1.43
NZD/USD,V2_b0_c5,55,19,36,0.3455,-174.34,-1.74,0.52,10.05,10.15,1.74
NZD/USD,V2_b0.5_c0,42,14,28,0.3333,-112.34,-1.12,0.60,11.96,9.99,1.28
NZD/USD,V2_b0.5_c1,21,9,12,0.4286,10.10,0.10,1.09,13.57,9.34,0.50
NZD/USD,V2_b0.5_c2,27,10,17,0.3704,-24.85,-0.25,0.84,13.41,9.35,0.65
NZD/USD,V2_b0.5_c3,27,10,17,0.3704,-24.85,-0.25,0.84,13.41,9.35,0.65
NZD/USD,V2_b0.5_c4,30,11,19,0.3667,-39.90,-0.40,0.77,12.30,9.22,0.70
NZD/USD,V2_b0.5_c5,36,12,24,0.3333,-97.60,-0.98,0.59,11.51,9.82,1.17
NZD/USD,V2_b1_c0,31,11,20,0.3548,-71.19,-0.71,0.65,11.91,10.11,0.92
NZD/USD,V2_b1_c1,18,7,11,0.3889,-3.65,-0.04,0.96,13.91,9.18,0.35
NZD/USD,V2_b1_c2,22,7,15,0.3182,-48.40,-0.48,0.67,13.88,9.71,0.68
NZD/USD,V2_b1_c3,22,7,15,0.3182,-48.40,-0.48,0.67,13.88,9.71,0.68
NZD/USD,V2_b1_c4,24,8,16,0.3333,-58.81,-0.59,0.63,12.30,9.83,0.80
NZD/USD,V2_b1_c5,28,9,19,0.3214,-87.92,-0.88,0.54,11.27,9.96,1.09
NZD/USD,V2_b2_c0,14,6,8,0.4286,2.45,0.02,1.03,13.97,10.17,0.32
NZD/USD,V2_b2_c1,6,3,3,0.5000,33.32,0.33,2.88,17.00,5.90,0.12
NZD/USD,V2_b2_c2,9,3,6,0.3333,-0.08,-0.00,1.00,16.98,8.50,0.26
NZD/USD,V2_b2_c3,9,3,6,0.3333,-0.08,-0.00,1.00,16.98,8.50,0.26
NZD/USD,V2_b2_c4,10,3,7,0.3000,-11.87,-0.12,0.81,16.97,8.97,0.38
NZD/USD,V2_b2_c5,12,4,8,0.3333,-27.38,-0.27,0.66,13.49,10.17,0.47
