pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
NZD/USD,V0_b0_c0,813,80,733,0.0984,-529.24,-5.29,0.58,9.32,1.74,5.29
NZD/USD,V0_b0_c1,252,60,192,0.2381,-309.08,-3.09,0.65,9.71,4.64,3.18
NZD/USD,V0_b0_c2,309,65,244,0.2104,-377.02,-3.77,0.62,9.62,4.11,3.86
NZD/USD,V0_b0_c3,362,71,291,0.1961,-423.41,-4.23,0.61,9.30,3.72,4.23
NZD/USD,V0_b0_c4,391,74,317,0.1893,-457.64,-4.58,0.60,9.27,3.61,4.58
NZD/USD,V0_b0_c5,416,77,339,0.1851,-472.65,-4.73,0.60,9.21,3.49,4.73
NZD/USD,V0_b0.5_c0,813,80,733,0.0984,-529.24,-5.29,0.58,9.32,1.74,5.29
NZD/USD,V0_b0.5_c1,252,60,192,0.2381,-309.08,-3.09,0.65,9.71,4.64,3.18
NZD/USD,V0_b0.5_c2,309,65,244,0.2104,-377.02,-3.77,0.62,9.62,4.11,3.86
NZD/USD,V0_b0.5_c3,362,71,291,0.1961,-423.41,-4.23,0.61,9.30,3.72,4.23
NZD/USD,V0_b0.5_c4,391,74,317,0.1893,-457.64,-4.58,0.60,9.27,3.61,4.58
NZD/USD,V0_b0.5_c5,416,77,339,0.1851,-472.65,-4.73,0.60,9.21,3.49,4.73
NZD/USD,V0_b1_c0,813,80,733,0.0984,-529.24,-5.29,0.58,9.32,1.74,5.29
NZD/USD,V0_b1_c1,252,60,192,0.2381,-309.08,-3.09,0.65,9.71,4.64,3.18
NZD/USD,V0_b1_c2,309,65,244,0.2104,-377.02,-3.77,0.62,9.62,4.11,3.86
NZD/USD,V0_b1_c3,362,71,291,0.1961,-423.41,-4.23,0.61,9.30,3.72,4.23
NZD/USD,V0_b1_c4,391,74,317,0.1893,-457.64,-4.58,0.60,9.27,3.61,4.58
NZD/USD,V0_b1_c5,416,77,339,0.1851,-472.65,-4.73,0.60,9.21,3.49,4.73
NZD/USD,V0_b2_c0,813,80,733,0.0984,-529.24,-5.29,0.58,9.32,1.74,5.29
NZD/USD,V0_b2_c1,252,60,192,0.2381,-309.08,-3.09,0.65,9.71,4.64,3.18
NZD/USD,V0_b2_c2,309,65,244,0.2104,-377.02,-3.77,0.62,9.62,4.11,3.86
NZD/USD,V0_b2_c3,362,71,291,0.1961,-423.41,-4.23,0.61,9.30,3.72,4.23
NZD/USD,V0_b2_c4,391,74,317,0.1893,-457.64,-4.58,0.60,9.27,3.61,4.58
NZD/USD,V0_b2_c5,416,77,339,0.1851,-472.65,-4.73,0.60,9.21,3.49,4.73
NZD/USD,V1_b0_c0,150,47,103,0.3133,-433.54,-4.34,0.51,9.46,8.52,4.46
NZD/USD,V1_b0_c1,112,38,74,0.3393,-277.08,-2.77,0.57,9.75,8.75,2.82
NZD/USD,V1_b0_c2,122,40,82,0.3279,-314.30,-3.14,0.56,9.80,8.62,3.24
NZD/USD,V1_b0_c3,129,43,86,0.3333,-328.31,-3.28,0.55,9.48,8.56,3.38
NZD/USD,V1_b0_c4,137,45,92,0.3285,-355.36,-3.55,0.55,9.48,8.50,3.73
NZD/USD,V1_b0_c5,139,45,94,0.3237,-368.53,-3.69,0.54,9.48,8.46,3.87
NZD/USD,V1_b0.5_c0,138,45,93,0.3261,-378.77,-3.79,0.53,9.52,8.68,3.97
NZD/USD,V1_b0.5_c1,107,37,70,0.3458,-247.07,-2.47,0.59,9.78,8.70,2.52
NZD/USD,V1_b0.5_c2,117,39,78,0.3333,-298.18,-2.98,0.56,9.83,8.74,3.07
NZD/USD,V1_b0.5_c3,123,42,81,0.3415,-299.50,-2.99,0.57,9.50,8.62,3.08
NZD/USD,V1_b0.5_c4,129,44,85,0.3411,-323.16,-3.23,0.56,9.50,8.72,3.40
NZD/USD,V1_b0.5_c5,131,44,87,0.3359,-336.38,-3.36,0.55,9.49,8.67,3.53
NZD/USD,V1_b1_c0,125,41,84,0.3280,-317.03,-3.17,0.56,9.89,8.60,3.31
NZD/USD,V1_b1_c1,99,35,64,0.3535,-201.80,-2.02,0.63,9.96,8.60,2.07
NZD/USD,V1_b1_c2,107,37,70,0.3458,-235.20,-2.35,0.61,10.01,8.65,2.46
NZD/USD,V1_b1_c3,113,39,74,0.3451,-257.55,-2.58,0.60,9.85,8.67,2.68
NZD/USD,V1_b1_c4,117,40,77,0.3419,-274.88,-2.75,0.59,9.87,8.70,2.85
NZD/USD,V1_b1_c5,119,40,79,0.3361,-288.17,-2.88,0.58,9.86,8.64,2.99
NZD/USD,V1_b2_c0,101,33,68,0.3267,-261.98,-2.62,0.56,10.22,8.81,2.79
NZD/USD,V1_b2_c1,80,28,52,0.3500,-146.64,-1.47,0.67,10.42,8.43,1.67
NZD/USD,V1_b2_c2,87,30,57,0.3448,-167.26,-1.67,0.65,10.46,8.44,1.93
NZD/USD,V1_b2_c3,92,32,60,0.3478,-197.27,-1.97,0.62,10.24,8.75,2.23
NZD/USD,V1_b2_c4,95,33,62,0.3474,-209.21,-2.09,0.62,10.26,8.84,2.35
NZD/USD,V1_b2_c5,96,33,63,0.3438,-220.51,-2.21,0.61,10.25,8.87,2.46
NZD/USD,V2_b0_c0,62,21,41,0.3387,-197.55,-1.98,0.53,10.47,10.18,2.12
NZD/USD,V2_b0_c1,31,13,18,0.4194,-23.39,-0.23,0.87,12.53,10.35,0.55
