pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/CHF,V1_b0_c0,28,16,12,0.5714,23.93,0.24,1.15,11.30,13.08,0.42
EUR/CHF,V1_b0_c1,28,16,12,0.5714,23.93,0.24,1.15,11.30,13.08,0.42
EUR/CHF,V1_b0_c2,28,16,12,0.5714,23.93,0.24,1.15,11.30,13.08,0.42
EUR/CHF,V1_b0_c3,28,16,12,0.5714,23.93,0.24,1.15,11.30,13.08,0.42
EUR/CHF,V1_b0_c4,28,16,12,0.5714,23.93,0.24,1.15,11.30,13.08,0.42
EUR/CHF,V1_b2_c0,20,11,9,0.5500,22.96,0.23,1.18,13.38,13.80,0.55
EUR/CHF,V1_b2_c1,20,11,9,0.5500,22.96,0.23,1.18,13.38,13.80,0.55
EUR/CHF,V1_b2_c2,20,11,9,0.5500,22.96,0.23,1.18,13.38,13.80,0.55
EUR/CHF,V1_b2_c3,20,11,9,0.5500,22.96,0.23,1.18,13.38,13.80,0.55
EUR/CHF,V1_b2_c4,20,11,9,0.5500,22.96,0.23,1.18,13.38,13.80,0.55
