pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
GBP/USD,V0_b0_c0,1098,106,992,0.0965,-165.33,-1.65,0.79,5.72,0.78,1.90
GBP/USD,V0_b0_c1,297,79,218,0.2660,-39.93,-0.40,0.92,6.10,2.40,1.15
GBP/USD,V0_b0_c2,376,89,287,0.2367,-51.67,-0.52,0.91,5.93,2.02,1.28
GBP/USD,V0_b0_c3,448,96,352,0.2143,-102.73,-1.03,0.84,5.70,1.85,1.57
GBP/USD,V0_b0_c4,494,100,394,0.2024,-122.01,-1.22,0.83,5.76,1.77,1.65
GBP/USD,V0_b0_c5,535,101,434,0.1888,-163.61,-1.64,0.78,5.69,1.70,1.88
GBP/USD,V0_b0.5_c0,1098,106,992,0.0965,-165.33,-1.65,0.79,5.72,0.78,1.90
GBP/USD,V0_b0.5_c1,297,79,218,0.2660,-39.93,-0.40,0.92,6.10,2.40,1.15
GBP/USD,V0_b0.5_c2,376,89,287,0.2367,-51.67,-0.52,0.91,5.93,2.02,1.28
GBP/USD,V0_b0.5_c3,448,96,352,0.2143,-102.73,-1.03,0.84,5.70,1.85,1.57
GBP/USD,V0_b0.5_c4,494,100,394,0.2024,-122.01,-1.22,0.83,5.76,1.77,1.65
GBP/USD,V0_b0.5_c5,535,101,434,0.1888,-163.61,-1.64,0.78,5.69,1.70,1.88
GBP/USD,V0_b1_c0,1098,106,992,0.0965,-165.33,-1.65,0.79,5.72,0.78,1.90
GBP/USD,V0_b1_c1,297,79,218,0.2660,-39.93,-0.40,0.92,6.10,2.40,1.15
GBP/USD,V0_b1_c2,376,89,287,0.2367,-51.67,-0.52,0.91,5.93,2.02,1.28
GBP/USD,V0_b1_c3,448,96,352,0.2143,-102.73,-1.03,0.84,5.70,1.85,1.57
GBP/USD,V0_b1_c4,494,100,394,0.2024,-122.01,-1.22,0.83,5.76,1.77,1.65
GBP/USD,V0_b1_c5,535,101,434,0.1888,-163.61,-1.64,0.78,5.69,1.70,1.88
GBP/USD,V0_b2_c0,1098,106,992,0.0965,-165.33,-1.65,0.79,5.72,0.78,1.90
GBP/USD,V0_b2_c1,297,79,218,0.2660,-39.93,-0.40,0.92,6.10,2.40,1.15
GBP/USD,V0_b2_c2,376,89,287,0.2367,-51.67,-0.52,0.91,5.93,2.02,1.28
GBP/USD,V0_b2_c3,448,96,352,0.2143,-102.73,-1.03,0.84,5.70,1.85,1.57
GBP/USD,V0_b2_c4,494,100,394,0.2024,-122.01,-1.22,0.83,5.76,1.77,1.65
GBP/USD,V0_b2_c5,535,101,434,0.1888,-163.61,-1.64,0.78,5.69,1.70,1.88
GBP/USD,V1_b0_c0,157,67,90,0.4268,-114.27,-1.14,0.79,6.46,6.08,1.78
GBP/USD,V1_b0_c1,129,55,74,0.4264,-59.39,-0.59,0.86,6.58,5.69,1.40
GBP/USD,V1_b0_c2,139,61,78,0.4388,-61.41,-0.61,0.86,6.41,5.80,1.46
GBP/USD,V1_b0_c3,145,63,82,0.4345,-83.94,-0.84,0.83,6.33,5.88,1.65
GBP/USD,V1_b0_c4,150,65,85,0.4333,-86.75,-0.87,0.83,6.41,5.92,1.68
GBP/USD,V1_b0_c5,152,65,87,0.4276,-110.62,-1.11,0.79,6.39,6.05,1.83
GBP/USD,V1_b0.5_c0,149,63,86,0.4228,-114.85,-1.15,0.79,6.70,6.24,1.84
GBP/USD,V1_b0.5_c1,122,51,71,0.4180,-68.66,-0.69,0.84,6.88,5.91,1.47
GBP/USD,V1_b0.5_c2,132,57,75,0.4318,-70.67,-0.71,0.84,6.67,6.01,1.52
GBP/USD,V1_b0.5_c3,138,59,79,0.4275,-93.18,-0.93,0.81,6.57,6.09,1.71
GBP/USD,V1_b0.5_c4,143,61,82,0.4266,-95.99,-0.96,0.81,6.65,6.12,1.74
GBP/USD,V1_b0.5_c5,144,61,83,0.4236,-111.20,-1.11,0.78,6.64,6.22,1.89
GBP/USD,V1_b1_c0,141,60,81,0.4255,-94.43,-0.94,0.81,6.89,6.27,1.71
GBP/USD,V1_b1_c1,115,49,66,0.4261,-48.66,-0.49,0.88,7.01,5.94,1.44
GBP/USD,V1_b1_c2,124,54,70,0.4355,-51.61,-0.52,0.88,6.89,6.05,1.49
GBP/USD,V1_b1_c3,131,56,75,0.4275,-85.31,-0.85,0.82,6.77,6.19,1.69
GBP/USD,V1_b1_c4,135,58,77,0.4296,-75.53,-0.76,0.84,6.85,6.14,1.63
GBP/USD,V1_b1_c5,136,58,78,0.4265,-90.78,-0.91,0.81,6.84,6.25,1.76
GBP/USD,V1_b2_c0,125,57,68,0.4560,-18.35,-0.18,0.96,7.15,6.27,1.41
GBP/USD,V1_b2_c1,103,47,56,0.4563,0.45,0.00,1.00,7.25,6.07,1.18
GBP/USD,V1_b2_c2,111,52,59,0.4685,-0.48,-0.00,1.00,7.10,6.26,1.29
GBP/USD,V1_b2_c3,114,53,61,0.4649,-7.31,-0.07,0.98,7.04,6.24,1.40
GBP/USD,V1_b2_c4,119,55,64,0.4622,-10.15,-0.10,0.97,7.11,6.27,1.35
GBP/USD,V1_b2_c5,121,55,66,0.4545,-25.50,-0.25,0.94,7.10,6.31,1.49
GBP/USD,V2_b0_c0,57,30,27,0.5263,10.88,0.11,1.08,5.10,5.27,0.28
GBP/USD,V2_b0_c1,21,13,8,0.6190,11.64,0.12,1.19,5.63,7.70,0.25
GBP/USD,V2_b0_c2,36,21,15,0.5833,33.05,0.33,1.38,5.74,5.83,0.15
GBP/USD,V2_b0_c3,41,23,18,0.5610,19.86,0.20,1.19,5.31,5.68,0.15
GBP/USD,V2_b0_c4,45,24,21,0.5333,21.10,0.21,1.19,5.42,5.20,0.15
GBP/USD,V2_b0_c5,49,25,24,0.5102,6.24,0.06,1.05,5.56,5.53,0.30
GBP/USD,V2_b0.5_c0,48,26,22,0.5417,16.73,0.17,1.13,5.47,5.70,0.28
GBP/USD,V2_b0.5_c1,19,12,7,0.6316,18.32,0.18,1.34,6.02,7.71,0.22
GBP/USD,V2_b0.5_c2,31,18,13,0.5806,35.48,0.35,1.46,6.26,5.94,0.15
GBP/USD,V2_b0.5_c3,34,20,14,0.5882,25.97,0.26,1.29,5.72,6.31,0.15
GBP/USD,V2_b0.5_c4,38,21,17,0.5526,27.21,0.27,1.29,5.83,5.60,0.15
GBP/USD,V2_b0.5_c5,42,22,20,0.5238,12.34,0.12,1.10,5.96,5.94,0.30
GBP/USD,V2_b1_c0,38,22,16,0.5789,33.79,0.34,1.40,5.34,5.24,0.15
GBP/USD,V2_b1_c1,14,10,4,0.7143,37.16,0.37,2.44,6.29,6.43,0.18
GBP/USD,V2_b1_c2,23,14,9,0.6087,35.35,0.35,1.67,6.27,5.82,0.18
GBP/USD,V2_b1_c3,27,16,11,0.5926,18.43,0.18,1.26,5.58,6.45,0.18
GBP/USD,V2_b1_c4,29,16,13,0.5517,15.00,0.15,1.20,5.58,5.72,0.18
GBP/USD,V2_b1_c5,33,18,15,0.5455,25.18,0.25,1.31,5.91,5.42,0.15
GBP/USD,V2_b2_c0,20,11,9,0.5500,26.91,0.27,1.53,7.09,5.67,0.15
GBP/USD,V2_b2_c1,7,4,3,0.5714,12.04,0.12,1.67,7.52,6.02,0.15
GBP/USD,V2_b2_c2,13,7,6,0.5385,24.96,0.25,1.82,7.93,5.10,0.15
GBP/USD,V2_b2_c3,16,8,8,0.5000,7.83,0.08,1.16,7.12,6.14,0.16
GBP/USD,V2_b2_c4,17,8,9,0.4706,5.94,0.06,1.12,7.11,5.66,0.16
GBP/USD,V2_b2_c5,18,9,9,0.5000,14.69,0.15,1.29,7.30,5.67,0.16
