pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/GBP,V0_b0_c0,41,21,20,0.5122,-20.33,-0.20,0.89,8.10,9.53,0.42
EUR/GBP,V0_b0_c2,34,17,17,0.5000,-32.48,-0.32,0.81,7.94,9.85,0.52
EUR/GBP,V0_b0_c4,38,18,20,0.4737,-47.73,-0.48,0.75,7.92,9.52,0.64
EUR/GBP,V0_b0_c8,40,20,20,0.5000,-25.69,-0.26,0.87,8.24,9.52,0.47
EUR/GBP,V0_b0.5_c0,41,21,20,0.5122,-20.33,-0.20,0.89,8.10,9.53,0.42
EUR/GBP,V0_b0.5_c2,34,17,17,0.5000,-32.48,-0.32,0.81,7.94,9.85,0.52
EUR/GBP,V0_b0.5_c4,38,18,20,0.4737,-47.73,-0.48,0.75,7.92,9.52,0.64
EUR/GBP,V0_b0.5_c8,40,20,20,0.5000,-25.69,-0.26,0.87,8.24,9.52,0.47
EUR/GBP,V0_b1_c0,41,21,20,0.5122,-20.33,-0.20,0.89,8.10,9.53,0.42
EUR/GBP,V0_b1_c2,34,17,17,0.5000,-32.48,-0.32,0.81,7.94,9.85,0.52
EUR/GBP,V0_b1_c4,38,18,20,0.4737,-47.73,-0.48,0.75,7.92,9.52,0.64
EUR/GBP,V0_b1_c8,40,20,20,0.5000,-25.69,-0.26,0.87,8.24,9.52,0.47
EUR/GBP,V0_b2_c0,41,21,20,0.5122,-20.33,-0.20,0.89,8.10,9.53,0.42
EUR/GBP,V0_b2_c2,34,17,17,0.5000,-32.48,-0.32,0.81,7.94,9.85,0.52
EUR/GBP,V0_b2_c4,38,18,20,0.4737,-47.73,-0.48,0.75,7.92,9.52,0.64
EUR/GBP,V0_b2_c8,40,20,20,0.5000,-25.69,-0.26,0.87,8.24,9.52,0.47
EUR/GBP,V1_b0_c0,35,18,17,0.5143,-24.48,-0.24,0.85,7.87,9.77,0.58
EUR/GBP,V1_b0_c2,30,14,16,0.4667,-47.50,-0.47,0.69,7.59,9.61,0.69
EUR/GBP,V1_b0_c4,32,15,17,0.4688,-48.46,-0.48,0.71,7.84,9.77,0.70
EUR/GBP,V1_b0_c8,35,18,17,0.5143,-24.48,-0.24,0.85,7.87,9.77,0.58
EUR/GBP,V1_b0.5_c0,34,17,17,0.5000,-34.06,-0.34,0.80,7.95,9.96,0.62
EUR/GBP,V1_b0.5_c2,29,13,16,0.4483,-57.06,-0.57,0.64,7.68,9.80,0.73
EUR/GBP,V1_b0.5_c4,31,14,17,0.4516,-58.02,-0.58,0.66,7.94,9.95,0.74
EUR/GBP,V1_b0.5_c8,34,17,17,0.5000,-34.06,-0.34,0.80,7.95,9.96,0.62
EUR/GBP,V1_b1_c0,31,15,16,0.4839,-35.32,-0.35,0.78,8.33,10.01,0.63
EUR/GBP,V1_b1_c2,27,12,15,0.4444,-53.06,-0.53,0.64,7.90,9.86,0.69
EUR/GBP,V1_b1_c4,28,12,16,0.4286,-65.35,-0.65,0.59,7.89,10.00,0.82
EUR/GBP,V1_b1_c8,30,14,16,0.4667,-43.35,-0.43,0.73,8.34,10.01,0.71
