ts	score	is_pf	is_pnl_pct	is_trades	oos_pf	oos_pnl_pct	oos_trades	status	description
20260710T095748	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	right_bars=3, max_hold_bars=64
20260710T095749	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_long=40.0, tp_atr=2.0
20260710T095749	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_short=70.0
20260710T095750	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	tp_atr=3.0
20260710T095750	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_short=55.0, right_bars=2
20260710T095819	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_mtf
20260710T095820	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_sweep
20260710T095820	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_avwap
20260710T095821	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_sweep_avwap
20260710T095821	-27.9373	1.303	1.401	11	0.068	-11.991	12	combo	preregistered soft_baseline
20260710T095822	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered soft_sweep
20260710T095822	-16.7200	99.000	0.804	1	0.000	-1.212	1	combo	preregistered soft_avwap
20260710T095823	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered soft_sweep_avwap
20260710T095823	-15.0000	0.000	0.000	0	0.000	0.000	0	baseline	baseline after combo rank
20260710T095823	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	max_hold_bars=16
20260710T095824	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	fib_timeframe=1d
20260710T095824	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	tp_atr=2.5
20260710T095825	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	fib_timeframe=1d
20260710T095825	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	atr_period=14
20260710T095826	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=soft_sweep_avwap, rsi_long=50.0
20260710T095826	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	max_hold_bars=16
20260710T095826	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=hardened_mtf
20260710T095827	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=1.0
20260710T095827	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	right_bars=7
20260710T095828	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=hardened_sweep_avwap, tp_atr=2.5
20260710T095828	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	right_bars=5, right_bars=3
20260710T100339	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_mtf
20260710T100339	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_sweep
20260710T100340	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_avwap
20260710T100340	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_sweep_avwap
20260710T100341	-27.9373	1.303	1.401	11	0.068	-11.991	12	combo	preregistered soft_baseline
20260710T100341	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered soft_sweep
20260710T100342	-16.7200	99.000	0.804	1	0.000	-1.212	1	combo	preregistered soft_avwap
20260710T100342	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered soft_sweep_avwap
20260710T100342	-15.0000	0.000	0.000	0	0.000	0.000	0	baseline	baseline after combo rank
20260710T100343	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	fib_timeframe=4h
20260710T100343	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	left_bars=5
20260710T100343	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	max_hold_bars=32
20260710T100344	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=hardened_avwap, max_hold_bars=64
20260710T100344	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	atr_period=14, sl_atr=3.0
20260710T100345	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=2.0
20260710T100345	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=soft_sweep
20260710T100346	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_short=65.0
20260710T100346	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=1.5
20260710T100347	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	left_bars=3, right_bars=2
20260710T100347	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_short=55.0
20260710T100347	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=3.0
20260710T100348	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=3.0
20260710T100348	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	tp_atr=2.5
20260710T100349	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=3.0, rsi_short=60.0
20260710T100349	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	tp_atr=1.5
20260710T101644	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume_seed	Widen Fib entry bands (golden/mid/wide/shallow) and soft RSI; raise informative trade count without new AND filters.
20260710T101644	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=1d
20260710T101645	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline, fib_zone=wide
20260710T101645	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline, one_entry_per_swing=True
